price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,condition,grade,sqft_above,zipcode,lat,long,sqft_living15,sqft_lot15,sale_age,age,renovated,basement,viewed
850000.0,5,2.0,2310,13430,1.5,0,4,8,2310,98004,47.6395,-122.203,2810,13906,48,48,0,0,0
474900.0,3,2.25,1800,43647,1.0,0,4,8,1800,98072,47.7757,-122.132,2480,25608,38,38,0,0,0
997000.0,4,3.5,3430,13609,2.0,0,3,11,3430,98059,47.5196,-122.151,3880,11614,14,14,0,0,0
1302000.0,4,3.5,3590,5334,2.0,0,3,9,3140,98115,47.6763,-122.267,2100,6250,9,9,0,1,1
209900.0,2,2.0,1180,3003,2.0,0,3,6,1180,98038,47.3491,-122.02,1310,3003,10,10,0,0,0
602000.0,3,2.5,1640,3804,2.0,0,3,8,1640,98122,47.6103,-122.3,1440,3230,16,16,0,0,0
1228000.0,4,2.5,5730,44947,2.0,0,3,11,4280,98074,47.6052,-122.064,3310,17628,23,23,0,1,1
856000.0,3,2.5,2160,3920,2.0,0,3,9,2160,98116,47.5762,-122.415,1500,4920,1,1,0,0,0
392000.0,3,2.25,1790,7125,1.0,0,3,7,1220,98034,47.7184,-122.226,2040,7950,40,40,0,1,0
500000.0,4,2.5,2900,5760,1.0,0,4,8,1660,98118,47.55,-122.272,2250,6098,56,56,0,1,0
230000.0,3,2.25,1500,7210,1.0,0,3,7,1150,98023,47.3124,-122.352,1500,7210,31,31,0,1,0
1145000.0,3,2.5,2490,4000,2.0,0,5,8,1670,98109,47.6403,-122.35,2310,4000,96,96,0,1,0
560000.0,4,2.5,3270,24750,1.0,0,4,8,1690,98056,47.5221,-122.178,1520,13480,36,36,0,1,0
355000.0,3,2.25,1980,7200,1.0,0,3,8,1300,98177,47.7625,-122.36,1820,8250,50,50,0,1,0
785000.0,3,2.0,2090,5015,1.5,0,5,7,2090,98112,47.6378,-122.301,1930,4250,94,94,0,0,0
447500.0,2,2.25,1180,2090,2.0,0,3,7,1180,98122,47.6032,-122.31,1550,2812,11,11,0,0,0
540000.0,1,1.0,1140,6700,1.5,0,3,7,1140,98103,47.6958,-122.357,1350,6700,94,94,0,0,0
252000.0,3,2.0,1540,7210,2.0,0,4,7,1540,98023,47.3128,-122.351,1500,7210,30,30,0,0,0
455000.0,4,1.75,2050,94525,1.0,0,4,7,1250,98058,47.4492,-122.084,2270,47480,55,55,0,1,0
619850.0,4,2.5,2270,9247,1.0,0,5,8,1500,98006,47.5602,-122.176,2270,9163,42,42,0,1,0
1250000.0,3,2.5,2070,4944,2.0,0,3,9,2070,98112,47.6256,-122.284,3300,6179,84,84,0,0,0
495000.0,3,1.5,1580,1228,3.0,0,3,8,1580,98115,47.6765,-122.32,1580,3605,0,0,0,0,0
540000.0,3,1.0,1270,3840,1.5,0,3,7,1270,98103,47.6896,-122.357,1270,4175,89,89,0,0,0
286651.0,3,2.5,1830,4997,2.0,0,3,7,1830,98001,47.3035,-122.283,2488,4998,11,11,0,0,0
261000.0,3,1.0,1780,7800,1.0,0,3,7,1060,98178,47.4932,-122.263,1450,7800,57,57,0,1,0
830000.0,4,3.25,3330,7809,2.0,0,3,9,3330,98075,47.5977,-121.976,3100,6465,11,11,0,0,0
450000.0,3,2.25,2530,27227,2.0,0,3,8,2530,98056,47.527,-122.193,2160,30192,27,27,0,0,0
260000.0,2,1.0,1270,19602,1.0,0,3,6,1270,98010,47.3375,-122.048,1270,17699,37,37,0,0,0
1450000.0,4,3.5,2820,7809,2.0,0,3,10,2820,98004,47.622,-122.195,2630,7904,20,20,0,0,0
480000.0,5,3.5,3480,12821,2.0,0,3,10,2890,98092,47.2641,-122.215,3400,9870,11,11,0,1,1
270000.0,4,2.0,1830,5220,1.5,0,3,7,1830,98118,47.5331,-122.278,1760,5757,64,64,0,0,0
1160000.0,4,3.5,4680,9700,2.0,0,3,10,3360,98006,47.5703,-122.165,2800,12343,9,9,0,1,0
250000.0,3,1.0,1700,7700,1.0,0,3,7,1120,98168,47.5114,-122.318,1700,8800,54,54,0,1,0
650000.0,2,1.0,1050,2542,1.0,0,3,7,880,98122,47.6172,-122.298,1620,1809,110,110,0,1,0
589950.0,3,2.0,2080,12094,2.0,0,4,8,2080,98052,47.7035,-122.164,2230,12204,32,32,0,0,0
743700.0,4,2.5,2610,33206,2.0,0,3,10,2610,98053,47.6662,-122.057,2870,28295,26,26,0,0,0
1925000.0,5,4.25,4830,8050,2.5,0,4,11,3710,98144,47.5789,-122.286,4470,9194,100,100,0,1,1
316000.0,3,1.75,1120,98445,1.5,0,4,7,1120,98022,47.1853,-122.017,1620,34200,97,97,0,0,1
235867.0,4,2.0,1330,5926,1.0,0,4,5,1330,98056,47.496,-122.19,1150,5485,72,72,0,0,0
716000.0,3,2.0,1420,3600,1.5,0,4,7,1420,98119,47.6367,-122.364,1250,3600,111,111,0,0,0
683000.0,4,2.5,2620,10489,2.0,0,3,9,2620,98052,47.6732,-122.143,2430,7701,24,24,0,0,0
345000.0,3,2.0,1430,4200,1.0,0,4,7,830,98199,47.6462,-122.384,1540,5000,107,107,0,1,0
270000.0,3,1.75,1260,7500,1.0,0,3,6,840,98155,47.772,-122.323,1340,7500,67,67,0,1,0
239000.0,3,1.5,1330,6540,1.0,0,3,7,900,98188,47.4239,-122.292,1400,11500,43,43,0,1,0
385195.0,1,1.0,710,6000,1.5,0,3,6,710,98144,47.5756,-122.316,1440,4800,0,0,0,0,0
273000.0,3,1.75,2050,9045,2.0,0,4,6,2050,98058,47.4572,-122.18,1200,9045,56,56,0,0,0
476900.0,3,1.0,1240,5758,1.5,0,4,6,960,98116,47.5675,-122.396,1460,5750,105,105,0,1,0
551000.0,4,1.75,2040,6348,1.0,0,3,7,1020,98103,47.6964,-122.336,1770,5047,53,53,0,1,0
448000.0,2,1.0,1110,5413,1.0,0,3,6,890,98115,47.6925,-122.32,1300,5413,77,77,0,1,0
411100.0,3,1.5,1040,10323,1.0,0,4,7,1040,98005,47.5882,-122.155,1580,7200,56,56,0,0,0
223000.0,2,1.0,910,9869,1.0,0,3,6,910,98058,47.4572,-122.184,1480,9750,57,57,0,0,0
335500.0,5,3.0,2240,19090,1.0,0,4,8,1700,98058,47.4416,-122.149,2280,20000,46,46,0,1,0
730000.0,3,3.0,3460,13129,2.0,0,3,9,2560,98077,47.7315,-122.058,3460,12568,26,26,0,1,0
197200.0,3,1.0,1140,8775,1.0,0,3,6,990,98146,47.4824,-122.336,1300,8775,73,73,0,1,0
725000.0,6,1.75,2380,4080,2.0,0,3,8,2380,98105,47.6629,-122.325,2030,4080,97,97,0,0,0
342500.0,3,2.0,2080,11375,1.0,0,3,8,2080,98022,47.214,-121.993,1080,12899,12,12,0,0,0
340000.0,5,2.0,1750,8220,1.0,0,3,7,1750,98155,47.7694,-122.321,1210,6760,58,58,0,0,0
418000.0,3,2.0,1410,6030,1.5,0,4,7,1410,98103,47.6994,-122.347,1410,6300,84,84,0,0,0
410000.0,3,1.75,2160,4000,1.0,0,3,7,1080,98144,47.5721,-122.309,1260,3200,62,62,0,1,0
240000.0,5,1.75,2460,16000,1.0,0,3,7,1230,98023,47.3305,-122.351,1990,16000,57,57,0,1,0
800000.0,4,3.25,3540,159430,2.0,0,3,9,3540,98014,47.6285,-121.899,1940,392040,7,7,0,0,0
275000.0,3,3.0,1390,1080,2.0,0,3,7,1140,98118,47.5323,-122.281,1450,1081,8,8,0,1,0
617950.0,4,2.5,2410,7950,2.0,0,3,8,2410,98034,47.7185,-122.226,1920,7713,18,18,0,0,0
396000.0,3,1.5,1300,8280,1.0,0,5,7,1300,98028,47.7403,-122.256,1570,8692,58,58,0,0,0
309000.0,3,2.5,1950,3825,2.0,0,3,7,1950,98042,47.3588,-122.082,1950,3825,2,2,0,0,0
1275000.0,4,1.75,3720,8448,1.0,0,4,9,1960,98199,47.6425,-122.406,2540,7064,67,67,0,1,1
572500.0,3,2.5,2490,7589,2.0,0,3,9,2490,98056,47.5355,-122.179,2500,10386,24,24,0,0,0
518500.0,4,3.0,2120,5520,1.5,0,3,8,1420,98125,47.7085,-122.286,2020,8700,29,29,0,1,0
710000.0,3,2.5,2830,9680,2.0,0,3,10,2830,98074,47.6249,-122.024,2970,8691,23,23,0,0,0
600000.0,5,3.25,4410,58157,2.0,0,4,9,2330,98058,47.4395,-122.111,2460,42565,13,13,0,1,0
467000.0,4,2.5,2220,7210,1.0,0,3,7,1270,98011,47.7428,-122.183,2220,7313,42,42,0,1,0
309000.0,3,1.0,1280,9656,1.0,0,4,6,920,98058,47.4485,-122.175,1340,8808,55,55,0,1,0
362500.0,3,3.5,1710,2212,2.0,0,3,7,1400,98126,47.5459,-122.368,1580,2212,2,2,0,1,0
390000.0,4,1.75,2330,8364,1.0,0,4,8,2330,98058,47.4568,-122.146,2180,9630,46,46,0,0,0
208417.0,2,1.0,840,4200,1.0,0,3,5,840,98108,47.5292,-122.316,830,5000,76,76,0,0,0
340000.0,3,1.0,3180,27586,1.0,0,3,8,1400,98022,47.1986,-121.967,2180,27586,46,46,0,1,0
467500.0,3,1.75,2260,8512,1.0,0,3,7,1130,98125,47.7129,-122.304,2240,8040,66,66,0,1,0
829000.0,4,2.75,2970,59677,1.0,0,4,8,1610,98075,47.5953,-122.08,2930,42489,42,42,0,1,1
959750.0,4,3.0,3060,50002,1.0,0,4,8,2460,98008,47.6205,-122.096,2740,16181,57,57,0,1,1
542000.0,3,2.5,1990,15985,1.0,0,3,8,1540,98007,47.6205,-122.141,2470,10125,50,50,0,1,0
2250000.0,3,2.5,3420,8700,1.0,0,3,9,2890,98112,47.6352,-122.29,3370,8700,64,64,0,1,0
575000.0,5,2.5,2990,7500,1.0,0,3,9,1800,98177,47.7707,-122.369,2800,9860,42,42,0,1,1
690000.0,3,1.75,2330,16300,2.0,0,3,9,2330,98034,47.7037,-122.24,2330,16300,51,51,0,0,0
699950.0,3,3.25,2230,5460,1.0,0,4,8,1430,98136,47.53,-122.388,2070,5600,38,38,0,1,1
408500.0,4,2.5,2720,7043,2.0,0,3,9,2720,98092,47.3315,-122.169,2640,6958,11,11,0,0,0
595000.0,4,3.0,3680,35736,1.5,0,4,8,2320,98027,47.4703,-122.015,3210,39512,45,45,0,1,0
313000.0,3,1.75,1320,6205,1.0,0,5,7,1320,98133,47.7412,-122.343,1210,6205,66,66,0,0,0
781000.0,4,2.5,2590,8571,2.0,0,3,9,2590,98052,47.691,-122.105,2360,8155,27,27,0,0,0
371000.0,4,1.75,1610,11305,1.0,0,3,7,1610,98034,47.727,-122.176,1870,11850,46,46,0,0,0
268000.0,3,2.0,1610,8416,1.0,0,3,7,1610,98031,47.397,-122.187,1600,8308,20,20,0,0,0
331000.0,2,2.25,1240,720,2.0,0,3,7,1150,98027,47.5322,-122.072,1260,810,7,7,0,1,0
321000.0,3,2.25,1347,1292,3.0,0,3,7,1347,98125,47.7306,-122.291,1480,1865,4,4,0,0,0
375000.0,3,1.75,1330,9417,1.0,0,5,6,710,98125,47.7231,-122.301,1690,7937,78,78,0,1,0
298000.0,2,1.0,850,5000,1.0,0,3,5,850,98055,47.4874,-122.207,910,4815,108,108,0,0,0
209500.0,3,1.5,970,5488,1.0,0,3,7,970,98106,47.5366,-122.359,1040,5488,39,39,0,0,0
440000.0,3,2.5,2160,3738,2.0,0,3,8,2160,98126,47.5661,-122.375,1500,4000,21,21,0,0,0
350000.0,4,2.5,2560,5428,2.0,0,3,8,2560,98042,47.3835,-122.095,2620,5428,3,3,0,0,0
618000.0,3,2.5,2340,3630,2.0,0,3,9,2340,98122,47.6059,-122.307,1820,5120,16,16,0,0,0
320000.0,3,1.0,1520,8870,1.5,0,4,7,1520,98155,47.7638,-122.317,1520,7800,63,63,0,0,0
234950.0,2,2.5,1720,3132,2.0,0,3,8,1720,98042,47.3728,-122.157,1740,4220,16,16,0,0,0
665000.0,5,2.0,2800,17788,1.0,0,4,8,1400,98033,47.6719,-122.163,1760,18282,51,51,0,1,0
500000.0,4,2.0,1530,7816,1.0,0,3,7,1530,98133,47.7309,-122.332,1480,7816,60,60,0,0,0
575000.0,2,1.5,1750,19709,1.5,0,4,8,1440,98010,47.3351,-122.044,1950,21075,36,36,0,1,0
320000.0,3,2.0,1110,10500,1.0,0,5,7,1110,98045,47.4456,-121.773,1230,10395,36,36,0,0,0
464000.0,5,2.5,3400,8970,1.0,0,4,8,1700,98133,47.7358,-122.335,1890,8475,55,55,0,1,0
280000.0,4,2.0,1600,6861,1.0,0,3,7,1600,98003,47.2701,-122.313,1870,7455,21,21,0,0,0
350000.0,3,1.0,940,7811,1.0,0,3,6,940,98008,47.6195,-122.118,1180,7490,55,55,0,0,0
249000.0,2,1.5,1090,2686,2.0,0,3,7,1090,98034,47.717,-122.19,1160,2158,32,32,0,0,0
531000.0,2,3.0,1270,1175,2.0,0,3,8,1110,98103,47.6634,-122.34,1290,1800,14,14,0,1,0
472800.0,3,2.25,1840,8400,1.0,0,3,8,1290,98006,47.5497,-122.172,2110,8400,53,53,0,1,0
710000.0,4,1.75,2120,5400,1.0,0,4,8,1060,98199,47.6501,-122.395,2052,6000,74,74,0,1,0
580000.0,5,2.75,3550,9600,2.0,0,3,7,3550,98033,47.6766,-122.186,3370,9600,54,54,0,0,0
330000.0,4,2.5,2980,5674,2.0,0,3,8,2980,98023,47.277,-122.347,2610,5495,11,11,0,0,0
174950.0,2,1.0,730,6000,1.0,0,3,6,730,98198,47.3832,-122.3,1750,7200,29,64,1,0,0
565000.0,3,3.0,2110,4000,1.0,0,4,7,1110,98126,47.5696,-122.375,1730,4000,49,49,0,1,1
534000.0,5,2.0,2280,3600,2.0,0,3,7,2280,98122,47.6056,-122.305,1740,1800,22,22,0,0,0
503500.0,3,2.5,1810,1750,2.0,0,3,7,1350,98199,47.6513,-122.386,1640,1563,18,18,0,1,0
235000.0,3,1.75,1420,7920,1.0,0,4,7,1420,98092,47.2931,-122.188,1420,7920,52,52,0,0,0
558000.0,4,2.5,3220,5120,2.0,0,3,9,2420,98118,47.5434,-122.27,1770,7680,14,14,0,1,0
966000.0,5,4.5,3810,8019,2.0,0,3,10,3810,98074,47.5915,-122.058,3390,7713,6,6,0,0,0
1297000.0,6,2.75,2630,9420,2.0,0,5,9,2510,98103,47.6695,-122.337,1540,4969,114,114,0,1,0
310000.0,3,1.5,1060,6954,1.0,0,4,6,1060,98106,47.5497,-122.355,1560,6372,32,32,0,0,0
535000.0,2,1.0,1520,3360,1.0,0,4,7,830,98117,47.6815,-122.382,1470,3774,87,87,0,1,0
432000.0,4,1.75,1970,5160,1.5,0,3,7,1970,98126,47.534,-122.373,1230,4920,73,73,0,0,0
1750000.0,6,4.25,5860,13928,2.0,0,3,10,4150,98006,47.5382,-122.114,5790,13928,2,2,0,1,1
675000.0,4,3.0,2400,3340,1.0,0,4,7,1200,98107,47.6646,-122.365,1520,3758,50,50,0,1,0
337000.0,4,2.0,1590,8779,1.0,0,3,8,1590,98019,47.7408,-121.974,2090,9600,13,13,0,0,0
410000.0,3,1.0,1410,5000,1.0,0,3,6,980,98116,47.5769,-122.397,1410,5000,90,90,0,1,0
320000.0,4,2.5,2130,9653,1.0,0,3,7,1500,98031,47.4068,-122.175,2000,7988,37,37,0,1,0
585000.0,4,2.5,2370,15200,1.0,0,3,8,1660,98052,47.6295,-122.089,2360,13879,39,39,0,1,0
835000.0,5,4.0,3600,14720,1.0,0,5,8,1800,98034,47.7022,-122.227,3600,15358,54,54,0,1,1
863000.0,4,2.5,4120,22370,2.0,0,3,10,4120,98074,47.6239,-122.023,3180,7257,17,17,0,0,0
320000.0,3,1.0,1190,4120,1.0,0,3,6,1190,98118,47.5513,-122.272,1360,4635,86,86,0,0,0
613000.0,3,3.25,2440,2812,2.0,0,3,8,1710,98027,47.5362,-122.072,2440,2836,9,9,0,1,0
180000.0,5,1.0,1460,11726,1.5,0,3,6,1290,98146,47.5039,-122.361,1460,10450,78,78,0,1,0
560000.0,4,2.25,2550,7800,1.0,0,3,8,1580,98052,47.6283,-122.095,2420,8050,47,47,0,1,0
530000.0,4,4.5,4060,10800,2.0,0,3,10,4060,98188,47.4241,-122.29,1830,9768,8,8,0,0,0
347000.0,3,2.5,1680,4308,2.0,0,3,7,1680,98056,47.4802,-122.179,2160,4182,11,11,0,0,0
260000.0,5,2.25,2320,6375,1.0,0,4,7,1270,98001,47.3351,-122.282,1760,7600,48,48,0,1,0
585000.0,4,2.5,2200,9099,2.0,0,3,8,2200,98034,47.733,-122.225,2270,8900,21,21,0,0,0
440000.0,3,2.5,2230,5800,2.0,0,3,7,2230,98065,47.5308,-121.847,2230,6088,10,10,0,0,0
305000.0,4,1.5,1590,131551,1.0,0,4,7,1590,98022,47.2558,-122.024,2280,108028,48,48,0,0,1
650500.0,3,1.75,1740,4400,1.5,0,3,8,1740,98122,47.6115,-122.292,1740,4400,112,112,0,0,0
590000.0,3,3.25,1290,1230,2.0,0,3,9,1090,98119,47.6367,-122.37,1710,1797,6,6,0,1,1
245000.0,3,1.75,1670,24650,1.0,0,4,7,1670,98022,47.1764,-122.026,1810,19465,41,41,0,0,0
329999.0,3,2.75,3360,41250,1.0,0,4,7,1820,98022,47.2604,-122.023,2580,98881,27,27,0,1,0
470000.0,3,2.5,2620,4874,2.0,0,3,7,2620,98065,47.5328,-121.879,2360,4231,16,16,0,0,0
2885000.0,7,3.0,5350,14400,2.5,0,4,10,5020,98112,47.6295,-122.285,3050,7469,104,104,0,1,0
580000.0,3,1.75,1460,2800,2.0,0,3,7,1460,98117,47.6779,-122.371,1220,4062,87,87,0,0,0
745000.0,3,1.75,1490,9800,1.0,0,4,7,1140,98004,47.584,-122.198,2310,9800,67,67,0,1,0
350000.0,4,2.25,1780,10416,1.0,0,5,7,1060,98055,47.4414,-122.189,1780,9975,52,52,0,1,0
515000.0,4,1.75,1730,7980,1.0,0,4,8,1730,98007,47.6219,-122.138,2080,8400,49,49,0,0,0
756100.0,4,2.0,2000,8317,1.5,0,4,8,2000,98126,47.5394,-122.379,1390,6001,98,98,0,0,0
472500.0,3,2.0,1750,15500,1.0,0,3,7,1490,98075,47.5887,-122.065,2450,50094,32,32,0,1,0
900000.0,6,2.75,2300,24773,1.5,0,4,9,2300,98040,47.5833,-122.242,2720,11740,29,64,1,0,0
895000.0,4,2.75,2640,4000,2.0,0,5,8,1730,98115,47.6727,-122.297,1530,3740,89,89,0,1,0
255000.0,3,2.5,2555,5720,2.0,0,3,8,2555,98031,47.386,-122.184,2844,5769,9,9,0,0,0
380000.0,4,2.5,2320,10079,2.0,0,3,7,2320,98038,47.3828,-122.026,2010,7438,21,21,0,0,0
265000.0,3,2.5,1660,5250,2.0,0,4,8,1660,98003,47.3541,-122.3,1630,5505,27,27,0,0,0
728000.0,3,1.5,1940,4000,1.5,0,3,8,1310,98112,47.6205,-122.291,1940,4000,99,99,0,1,0
194000.0,3,1.0,1050,7577,1.0,0,3,7,1050,98023,47.2891,-122.357,1430,7245,31,31,0,0,0
